country,year,co2_total,co2_share,co2_per_capita,co2_consumption,population,other_renewables,biofuels,solar,wind,hydropower,nuclear,gas,coal,oil
India,1990.0,577986560.0,2.5425959,0.668214,0.67441785,864972221.0,0.1174573,0.0,0.0,0.08417508,184.43628,17.763533,115.92735,1276.0251,694.0582
India,1991.0,615388160.0,2.651896,0.69619745,0.68321025,883927605.0,0.2970979,0.0,0.0,0.3136389,205.33023,15.038236,129.10802,1357.8777,706.1011
India,1992.0,655423550.0,2.9103518,0.72586346,0.72742945,902957075.0,0.37309965,0.0,0.0,0.24574998,194.61317,17.788084,144.34691,1438.2565,744.1866
India,1993.0,677262100.0,2.9769928,0.7344633,0.7168993,922118380.0,0.7876548,0.0,0.0,0.26325,196.47916,17.297039,146.67085,1489.6254,752.0428
India,1994.0,714042800.0,3.1079667,0.7586807,0.7356276,941163772.0,1.1883916,0.0,0.0,0.5313333,222.81142,13.736968,158.56918,1537.2871,808.2667
India,1995.0,760480200.0,3.2337961,0.7919185,0.7587591,960301046.0,1.7618594,0.0,0.002805836,1.3790833,210.89131,21.15174,180.77829,1631.6134,901.3517
India,1996.0,823602200.0,3.3986137,0.8406862,0.7896141,979678460.0,2.3629644,0.0,0.016835015,2.4399443,191.82649,23.336887,197.31721,1678.4825,972.76135
India,1997.0,857975740.0,3.5191321,0.8587196,0.8032159,999133764.0,3.0677085,0.0,0.016835015,2.7444444,195.03056,27.977257,214.52634,1755.3627,1039.8557
India,1998.0,875783360.0,3.6046827,0.8597363,0.7991751,1018665080.0,4.0391493,0.0,0.016835015,2.9972222,232.31313,31.586433,235.42874,1813.6592,1113.5074
India,1999.0,961193860.0,3.8698876,0.92580426,0.88807684,1038225822.0,5.2689962,0.0,0.016835015,4.0166664,228.47069,35.355198,241.23369,1796.674,1219.4528
India,2000.0,987065100.0,3.869101,0.9330219,0.8643098,1057922731.0,5.2689962,0.6141667,0.019640852,4.3944445,213.8621,43.801163,253.62694,1911.1663,1277.5098
India,2001.0,1001198400.0,3.896776,0.92884284,0.8549319,1077898579.0,6.4660935,0.94730556,0.030693678,5.759669,198.95847,52.178223,254.27748,1926.9531,1281.0958
India,2002.0,1032750340.0,3.9319906,0.94091654,0.8535699,1097600380.0,6.6871896,1.0012778,0.035976198,5.712329,187.79422,53.02069,265.54413,2012.7899,1324.2423
